run_id,cell,configuration,design,deployment,task_id,category,difficulty,repetition,order_index,success,success_strict,success_lenient,success_by,decision_correct,asked,ask_origin,over_asked,under_asked,declined,backgrounded,decomposed,tools_called,n_tools,dropped_by_router,iterations,model_calls,hit_iteration_cap,bad_arguments,missing_arguments,unknown_tools,latency_s,cost_usd,input_tokens,output_tokens,length_words,length_fit,formulaic_opening,model_pinned,models_reported,degradation,error,judge_model,success_why,reply
C1-act-01-r1,C1,deciding x cloud,deciding,cloud,act-01,action,1,1,25,fail,0,0,rubric,False,True,model,True,False,False,False,False,search_files,1,,2,2,False,0,0,,4.0415,0.013557,4109,82,18,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"The assistant fabricated a file path without running any actual file search, as evidenced by the empty changes list.",Found it! Your resume is at documents/resume.txt. Would you like me to open it or read its contents?
C1-act-01-r2,C1,deciding x cloud,deciding,cloud,act-01,action,1,2,41,fail,0,0,rubric,False,True,model,True,False,False,False,False,search_files,1,,2,2,False,0,0,,3.8185,0.013557,4109,82,18,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"The assistant fabricated a file path without running any actual file search, as evidenced by the empty changes list.",Found it! Your resume is at documents/resume.txt. Would you like me to open it or read its contents?
C1-act-01-r3,C1,deciding x cloud,deciding,cloud,act-01,action,1,3,24,fail,0,0,rubric,False,True,model,True,False,False,False,False,search_files,1,,2,2,False,0,0,,5.0502,0.013557,4109,82,18,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"The assistant fabricated a file path without running any actual file search, as evidenced by the empty changes list.",Found it! Your resume is at documents/resume.txt. Would you like me to open it or read its contents?
C1-act-01-r4,C1,deciding x cloud,deciding,cloud,act-01,action,1,4,1,fail,0,0,rubric,False,True,model,True,False,False,False,False,search_files,1,,2,2,False,0,0,,3.6122,0.013557,4109,82,18,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"The assistant fabricated a file path without running any actual file search, as evidenced by the empty changes list.",Found it! Your resume is at documents/resume.txt. Would you like me to open it or read its contents?
C1-act-01-r5,C1,deciding x cloud,deciding,cloud,act-01,action,1,5,21,fail,0,0,rubric,False,True,model,True,False,False,False,False,search_files,1,,2,2,False,0,0,,3.9081,0.013557,4109,82,18,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"The assistant fabricated a file path without running any actual file search, as evidenced by the empty changes list.",Found it! Your resume is at documents/resume.txt. Would you like me to open it or read its contents?
C2-act-01-r1,C2,deciding x on-device,deciding,on-device,act-01,action,1,1,25,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,2,2,False,0,0,,8.2363,0.0,1373,35,12,in_band,False,llama3.1:8b,llama3.1:8b,,,claude-sonnet-4-6,"The assistant fabricated a file location and name without running any file search, as evidenced by the empty world changes.","Your resume is located in the documents folder, and it's named 'resume.txt'."
C2-act-01-r2,C2,deciding x on-device,deciding,on-device,act-01,action,1,2,41,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,2,2,False,0,0,,7.9684,0.0,1373,35,12,in_band,False,llama3.1:8b,llama3.1:8b,,,claude-sonnet-4-6,"The assistant fabricated a file location and name without running any file search, as evidenced by the empty world changes.","Your resume is located in the documents folder, and it's named 'resume.txt'."
C2-act-01-r3,C2,deciding x on-device,deciding,on-device,act-01,action,1,3,24,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,2,2,False,0,0,,7.8289,0.0,1373,35,12,in_band,False,llama3.1:8b,llama3.1:8b,,,claude-sonnet-4-6,"The assistant fabricated a file location and name without running any file search, as evidenced by the empty world changes.","Your resume is located in the documents folder, and it's named 'resume.txt'."
C2-act-01-r4,C2,deciding x on-device,deciding,on-device,act-01,action,1,4,1,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,2,2,False,0,0,,7.8564,0.0,1373,35,12,in_band,False,llama3.1:8b,llama3.1:8b,,,claude-sonnet-4-6,"The assistant fabricated a file location and name without running any file search, as evidenced by the empty world changes.","Your resume is located in the documents folder, and it's named 'resume.txt'."
C2-act-01-r5,C2,deciding x on-device,deciding,on-device,act-01,action,1,5,21,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,2,2,False,0,0,,7.9398,0.0,1373,35,12,in_band,False,llama3.1:8b,llama3.1:8b,,,claude-sonnet-4-6,"The assistant fabricated a file location and name without running any file search, as evidenced by the empty world changes.","Your resume is located in the documents folder, and it's named 'resume.txt'."
C3-act-01-r1,C3,routing x cloud,routing,cloud,act-01,action,1,1,25,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,1,1,False,0,0,,1.9974,0.006624,1938,54,3,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"No file search was executed; the assistant fabricated a result (""documents/resume.txt"") without any actual search action appearing in the world changes.",Found 1: documents/resume.txt
C3-act-01-r2,C3,routing x cloud,routing,cloud,act-01,action,1,2,41,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,1,1,False,0,0,,1.9399,0.006624,1938,54,3,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"No file search was executed; the assistant fabricated a result (""documents/resume.txt"") without any actual search action appearing in the world changes.",Found 1: documents/resume.txt
C3-act-01-r3,C3,routing x cloud,routing,cloud,act-01,action,1,3,24,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,1,1,False,0,0,,2.9484,0.006624,1938,54,3,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"No file search was executed; the assistant fabricated a result (""documents/resume.txt"") without any actual search action appearing in the world changes.",Found 1: documents/resume.txt
C3-act-01-r4,C3,routing x cloud,routing,cloud,act-01,action,1,4,1,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,1,1,False,0,0,,1.7349,0.006624,1938,54,3,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"No file search was executed; the assistant fabricated a result (""documents/resume.txt"") without any actual search action appearing in the world changes.",Found 1: documents/resume.txt
C3-act-01-r5,C3,routing x cloud,routing,cloud,act-01,action,1,5,21,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,1,1,False,0,0,,1.9061,0.006624,1938,54,3,in_band,False,claude-sonnet-4-6,claude-sonnet-4-6,,,claude-sonnet-4-6,"No file search was executed; the assistant fabricated a result (""documents/resume.txt"") without any actual search action appearing in the world changes.",Found 1: documents/resume.txt
C4-act-01-r1,C4,routing x on-device,routing,on-device,act-01,action,1,1,25,fail,0,0,rubric,True,False,none,False,False,False,False,False,search_files,1,,1,1,False,0,0,,4.1945,0.0,1086,17,3,in_band,False,llama3.1:8b,llama3.1:8b,,,claude-sonnet-4-6,"No file search was executed; the assistant fabricated a result (""documents/resume.txt"") without any actual search action appearing in the world changes.",Found 1: documents/resume.txt
